0.1 | 0.5 | Tied | Raw | PCA = 10 | ActDCF =0.647 | MinDCF =0.337
0.1 | 0.9 | Tied | Raw | PCA = 10 | ActDCF =5.567 | MinDCF =0.747
0.1 | 0.1 | Tied | Raw | PCA = 11 | ActDCF =0.905 | MinDCF =0.811
0.1 | 0.5 | Tied | Raw | PCA = 11 | ActDCF =0.631 | MinDCF =0.334
0.1 | 0.9 | Tied | Raw | PCA = 11 | ActDCF =5.408 | MinDCF =0.746
0.1 | 0.1 | Tied | Normalized | PCA = 5 | ActDCF =0.877 | MinDCF =0.818
0.1 | 0.5 | Tied | Normalized | PCA = 5 | ActDCF =0.779 | MinDCF =0.384
0.1 | 0.9 | Tied | Normalized | PCA = 5 | ActDCF =6.913 | MinDCF =0.983
0.1 | 0.1 | Tied | Normalized | PCA = 6 | ActDCF =0.886 | MinDCF =0.853
0.1 | 0.5 | Tied | Normalized | PCA = 6 | ActDCF =0.742 | MinDCF =0.368
0.1 | 0.9 | Tied | Normalized | PCA = 6 | ActDCF =6.537 | MinDCF =0.937
0.1 | 0.1 | Tied | Normalized | PCA = 7 | ActDCF =0.915 | MinDCF =0.887
0.1 | 0.5 | Tied | Normalized | PCA = 7 | ActDCF =0.732 | MinDCF =0.380
0.1 | 0.9 | Tied | Normalized | PCA = 7 | ActDCF =6.409 | MinDCF =0.900
0.1 | 0.1 | Tied | Normalized | PCA = 8 | ActDCF =0.878 | MinDCF =0.867
0.1 | 0.5 | Tied | Normalized | PCA = 8 | ActDCF =0.715 | MinDCF =0.383
0.1 | 0.9 | Tied | Normalized | PCA = 8 | ActDCF =6.275 | MinDCF =0.892
0.1 | 0.1 | Tied | Normalized | PCA = 9 | ActDCF =0.825 | MinDCF =0.817
0.1 | 0.5 | Tied | Normalized | PCA = 9 | ActDCF =0.675 | MinDCF =0.356
0.1 | 0.9 | Tied | Normalized | PCA = 9 | ActDCF =5.921 | MinDCF =0.840
