0.5 | 0.5 | Linear Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =0.358 | MinDCF =0.350
0.5 | 0.9 | Linear Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =1.794 | MinDCF =0.662
0.5 | 0.1 | Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =1.982 | MinDCF =0.838
0.5 | 0.5 | Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =0.377 | MinDCF =0.366
0.5 | 0.9 | Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =1.786 | MinDCF =0.749
0.5 | 0.1 | Linear Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =1.785 | MinDCF =0.815
0.5 | 0.5 | Linear Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =0.362 | MinDCF =0.354
0.5 | 0.9 | Linear Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =1.837 | MinDCF =0.692
0.5 | 0.1 | Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =1.977 | MinDCF =0.835
0.5 | 0.5 | Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =0.372 | MinDCF =0.366
0.5 | 0.9 | Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =1.742 | MinDCF =0.748
0.5 | 0.1 | Linear Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =1.735 | MinDCF =0.823
0.5 | 0.5 | Linear Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =0.371 | MinDCF =0.366
0.5 | 0.9 | Linear Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =1.976 | MinDCF =0.754
0.5 | 0.1 | Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =1.970 | MinDCF =0.837
0.5 | 0.5 | Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =0.371 | MinDCF =0.366
0.5 | 0.9 | Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =1.741 | MinDCF =0.747
0.5 | 0.1 | Linear Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =1.855 | MinDCF =0.830
0.5 | 0.5 | Linear Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =0.406 | MinDCF =0.397
0.5 | 0.9 | Linear Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =2.207 | MinDCF =0.821
0.5 | 0.1 | Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =1.954 | MinDCF =0.835
0.5 | 0.5 | Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.368 | MinDCF =0.365
0.5 | 0.9 | Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =1.725 | MinDCF =0.760
0.5 | 0.1 | Linear Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =1.885 | MinDCF =0.836
0.5 | 0.5 | Linear Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.417 | MinDCF =0.407
0.5 | 0.9 | Linear Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =2.283 | MinDCF =0.883
0.5 | 0.1 | Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =2.027 | MinDCF =0.847
0.5 | 0.5 | Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.376 | MinDCF =0.365
0.5 | 0.9 | Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =1.733 | MinDCF =0.763
0.5 | 0.1 | Linear Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =1.840 | MinDCF =0.845
0.5 | 0.5 | Linear Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.418 | MinDCF =0.411
0.5 | 0.9 | Linear Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =2.336 | MinDCF =0.944
0.5 | 0.1 | Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =2.060 | MinDCF =0.827
0.5 | 0.5 | Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.383 | MinDCF =0.375
0.5 | 0.9 | Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =1.766 | MinDCF =0.818
